blanks
144,820,22.09,6.72,15.37,2142.30,Metal Loss,External,19,0.053,0.6,0.6,03:21,,Lap,0.280,X35,8.625,715,,0.343,2085,2896,33.67485354,-118.01567398,38.25,,,,,
145,820,22.09,7.01,15.08,2142.58,Metal Loss,External,21,0.059,0.3,0.6,04:03,,Lap,0.280,X35,8.625,715,,0.341,2098,2914,33.67485390,-118.01567335,38.26,,,,,
146,820,22.09,7.36,14.73,2142.94,Metal Loss,External,19,0.053,0.3,0.6,02:28,,Lap,0.280,X35,8.625,715,,0.341,2099,2915,33.67485443,-118.01567241,38.26,,,,,
147,820,22.09,7.75,14.35,2143.32,Metal Loss,External,19,0.053,0.3,0.6,03:02,,Lap,0.280,X35,8.625,715,,0.341,2099,2915,33.67485495,-118.01567149,38.26,,,,,
148,820,22.09,8.75,13.34,2144.32,Metal Loss,External,33,0.092,0.3,0.7,03:16,,Lap,0.280,X35,8.625,715,,0.342,2094,2908,33.67485643,-118.01566888,38.27,,,,,
149,820,22.09,16.20,5.89,2151.77,Deformation,,1.1,0.094,2.8,2.1,02:47,,Lap,0.280,X35,8.625,715,,,,,33.67486733,-118.01564968,38.35,,,,,
150,820,22.09,18.05,4.04,2153.63,Metal Loss,External,15,0.042,0.5,0.9,03:25,,Lap,0.280,X35,8.625,715,,0.341,2095,2910,33.67486996,-118.01564507,38.36,,,,,
151,820,22.09,21.19,0.90,2156.76,Metal Loss,External,15,0.042,0.8,0.8,03:17,,Lap,0.280,X35,8.625,715,,0.343,2082,2892,33.67487452,-118.01563709,38.38,,,,,
152,830,18.99,22.09,18.99,2157.67,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67487594,-118.01563460,38.39,,,,,
153,840,3.48,18.99,3.48,2176.66,Girth Weld,,,,,,,,Lap,0.280,X35,8.625,715,,,,,33.67490560,-118.01558269,38.49,,,,,
154,840,3.48,0.65,2.83,2177.31,Metal Loss Group,External,25,0.070,1.5,0.7,03:42,,Lap,0.280,X35,8.625,715,,0.359,1992,2766,33.67490653,-118.01558107,38.50,,,,,
155,840,3.48,0.71,2.77,2177.37,Metal Loss,External,21,0.059,0.3,0.6,05:50,,Lap,0.280,X35,8.625,715,,0.341,2098,2914,33.67490660,-118.01558094,38.50,,,,,
156,840,3.48,0.88,2.60,2177.54,Metal Loss Group,External,17,0.048,1.6,1.1,04:02,,Lap,0.280,X35,8.625,715,,0.352,2030,2819,33.67490684,-118.01558052,38.50,,,,,
157,840,3.48,1.15,2.33,2177.81,Metal Loss,External,29,0.081,0.7,0.7,04:10,,Lap,0.280,X35,8.625,715,,0.346,2064,2867,33.67490727,-118.01557977,38.50,,,,,
158,840,3.48,1.32,2.17,2177.97,Metal Loss,External,21,0.059,0.6,0.7,04:18,,Lap,0.280,X35,8.625,715,,0.343,2082,2892,33.67490750,-118.01557936,38.50,,,,,
159,850,4.63,3.48,4.63,2180.14,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67491073,-118.01557373,38.51,,,,,
