ItemNumber,JointNumber,JointLengthft,DisttoUSGWft,DisttoDSGWft,AbsoluteDistanceft,Feature,ExtInt,Depth,Depthin,Lengthin,Widthin,Oclockhhmm,Comments,PipeType,WTin,PipeGrade,PipeODin,MOP,LongSeam,ERF,SafeBurstPressure,BurstPressure,Latitudedeg,Longitudedeg,Elevationft
154,950,0.55,0.29,0.26,2438.58,Bend,,,,,,03:02,45° 5D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67546296,-118.01512015,43.28
155,960,2.01,0.55,2.01,2438.84,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67546329,-118.01511943,43.28
156,970,4.54,2.01,4.54,2440.85,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67546518,-118.01511324,43.29
157,980,37.27,4.54,37.27,2445.39,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67546926,-118.01509933,43.30
158,980,37.27,0.04,37.23,2445.43,Metal Loss Group,External,19,0.053,0.9,6.3,02:02,,SMLS,0.280,X35,8.625,715,,0.345,2070,2875,33.67546929,-118.01509922,43.30
159,980,37.27,0.09,37.19,2445.48,Metal Loss,External,14,0.039,0.4,0.7,05:51,,SMLS,0.280,X35,8.625,715,,0.341,2098,2914,33.67546935,-118.01509902,43.30
160,980,37.27,0.42,36.86,2445.81,Metal Loss,External,10,0.028,0.8,0.5,02:02,,SMLS,0.280,X35,8.625,715,,0.342,2090,2903,33.67546961,-118.01509813,43.30
161,980,37.27,0.54,36.74,2445.93,Metal Loss,External,11,0.031,0.5,0.6,08:03,,SMLS,0.280,X35,8.625,715,,0.341,2098,2914,33.67546971,-118.01509781,43.30
162,980,37.27,0.67,36.60,2446.06,Metal Loss,External,10,0.028,0.8,0.8,01:17,,SMLS,0.280,X35,8.625,715,,0.342,2089,2901,33.67546983,-118.01509738,43.30
163,980,37.27,0.69,36.58,2446.08,Metal Loss,External,10,0.028,0.9,0.8,02:54,,SMLS,0.280,X35,8.625,715,,0.343,2087,2899,33.67546984,-118.01509737,43.30
164,980,37.27,1.14,36.13,2446.54,Metal Loss,External,11,0.031,0.4,0.8,06:19,,SMLS,0.280,X35,8.625,715,,0.341,2099,2915,33.67547022,-118.01509607,43.30
