Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
12240,InVista,"1,232",1.257,66+36,"38,233.94",GW12260,Weld,D21.75,21.84,21.75,U66.72,66.72,"2,732.40",0.278,0.278,,,,,,,21.75,,,,,,,,33.84196695,-118.30687985,47.2,,99.4,,,,,,0.258,"1,387",0.925,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.278,0.279,"38,233.94","6,636.02",4.038,4.036,3.846,0.277,,,,,
12250,InVista,"1,233",1.253,66+14,"38,255.69",GW12270,Weld,U21.75,21.75,21.80,U88.47,88.47,"2,710.65",0.273,0.273,,,,,,,21.80,318,,,,,,,33.84196590,-118.30695224,47.3,,99.6,,,,,,0.229,"1,367",0.887,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"38,255.69","6,613.85",4.041,4.040,2.868,0.277,,,,,
12260,InVista,"1,234",1.248,65+92,"38,277.49",GW12280,Weld,U21.80,21.80,21.83,U110.27,110.27,"2,688.85",0.275,0.275,,,,,,,21.83,300,,,,,,,33.84196483,-118.30702491,47.4,Metal Loss (<15.0%) in Joint,99.2,,,,,,0.228,"1,385",0.899,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"38,277.49","6,591.65",4.039,4.039,3.942,0.277,,,,,
12260,InVista,"1,234",1.248,65+89,"38,280.37",EML-12280-01,External Metal Loss,U2.88,2.88,18.95,U113.15,113.15,"2,685.98",0.274,0.275,17,26,,8.71,10.56,302,,,"1,626","1,508","1,652","1,514","2,295","2,102",33.84196469,-118.30703436,47.4,,90.5,External,0.047,0.025,0.072,0.203,0.228,"1,385",0.899,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.274,0.274,"38,280.37","6,588.71",4.034,4.037,4.021,0.277,,,,,
12260,InVista,"1,234",1.247,65+86,"38,282.94",EML-12280-02,External Metal Loss,U5.45,5.45,16.37,U115.72,115.72,"2,683.40",0.274,0.275,15,24,,6.20,7.90,19,,,"1,674","1,566","1,710","1,584","2,375","2,200",33.84196456,-118.30704300,47.4,Intermittent,94.6,External,0.040,0.025,0.065,0.210,0.235,"1,387",0.933,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.274,0.277,"38,282.94","6,586.09",4.034,4.037,4.027,0.277,,,,,
12260,InVista,"1,234",1.247,65+84,"38,285.15",EML-12280-03,External Metal Loss,U7.67,7.67,14.16,U117.93,117.93,"2,681.19",0.241,0.275,15,24,,0.26,0.24,41,,,"1,834","1,832","1,834","1,832","2,547","2,544",33.84196446,-118.30705030,47.4,,91.7,External,0.041,0.025,0.066,0.209,0.234,"1,387",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.241,0.249,"38,285.15","6,583.84",4.033,4.033,4.032,0.277,,,,,
12260,InVista,"1,234",1.247,65+82,"38,286.73",EML-12280-04,External Metal Loss,U9.24,9.24,12.58,U119.51,119.51,"2,679.61",0.260,0.275,16,25,,1.29,1.29,11,,,"1,791","1,758","1,792","1,754","2,489","2,436",33.84196439,-118.30705543,47.4,,89.7,External,0.043,0.025,0.068,0.207,0.232,"1,387",0.957,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.260,0.263,"38,286.73","6,582.23",4.033,4.033,4.028,0.277,,,,,
12260,InVista,"1,234",1.246,65+81,"38,287.70",EML-12280-05,External Metal Loss,U10.21,10.21,11.61,U120.48,120.48,"2,678.64",0.270,0.275,17,26,,2.13,2.58,50,,,"1,743","1,684","1,776","1,710","2,467","2,375",33.84196433,-118.30705867,47.4,,85.9,External,0.046,0.025,0.071,0.204,0.229,"1,387",0.963,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.270,0.271,"38,287.70","6,581.24",4.034,4.036,4.031,0.277,,,,,
12270,InVista,"1,235",1.244,65+69,"38,299.31",GW12290,Weld,D19.21,21.83,19.20,U132.10,132.10,"2,667.03",0.291,0.291,,,,,,,19.20,152,,,,,,,33.84196377,-118.30709730,47.5,,98.7,,,,,,0.243,"1,332",0.864,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.291,0.294,"38,299.31","6,569.41",4.025,4.026,3.388,0.277,,,,,
12280,InVista,"1,236",1.240,65+50,"38,318.52",GW12300,Weld,U19.21,19.20,22.41,U151.30,151.30,"2,647.82",0.278,0.278,,,,,,,22.41,329,,,,,,,33.84196284,-118.30716132,47.5,Metal Loss (<15.0%) in Joint,98.7,,,,,,0.200,"1,225",0.795,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.278,0.279,"38,318.52","6,549.84",4.037,4.037,3.153,0.277,,,,,
12280,InVista,"1,236",1.238,65+35,"38,332.60",EML-12300-01,External Metal Loss,D8.33,14.08,8.33,U165.38,165.38,"2,633.74",0.273,0.278,28,37,,20.29,8.55,125,,,"1,453","1,319","1,537","1,381","2,135","1,918",33.84196216,-118.30720805,47.6,,92.1,External,0.078,0.025,0.103,0.175,0.200,"1,225",0.795,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.270,"38,332.60","6,535.49",4.037,4.038,4.025,0.277,,,,,
12280,InVista,"1,236",1.237,65+31,"38,337.25",EML-12300-02,External Metal Loss,D3.67,18.73,3.67,U170.03,170.03,"2,629.09",0.264,0.278,16,25,,1.17,0.81,346,,,"1,816","1,788","1,828","1,797","2,538","2,495",33.84196193,-118.30722372,47.6,,95.8,External,0.045,0.025,0.070,0.208,0.233,"1,387",0.908,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.264,0.277,"38,337.25","6,530.75",4.028,4.028,4.024,0.277,,,,,
12290,InVista,"1,237",1.236,65+27,"38,340.93",GW12310,Weld,D19.32,22.41,19.32,U173.71,173.71,"2,625.42",0.280,0.280,,,,,,,19.32,323,,,,,,,33.84196174,-118.30723588,47.6,,98.7,,,,,,0.247,"1,387",0.920,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.280,0.282,"38,340.93","6,527.01",4.034,4.035,3.207,0.277,,,,,
12300,InVista,"1,238",1.232,65+07,"38,360.25",GW12320,Weld,U19.32,19.32,22.77,U193.03,193.03,"2,606.09",0.273,0.273,,,,,,,22.77,300,,,,,,,33.84196094,-118.30730013,47.7,Small Laminations in Joint,99.6,,,,,,0.235,"1,387",0.944,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.275,"38,360.25","6,507.32",4.041,4.041,3.132,0.277,,,,,
12300,InVista,"1,238",1.228,64+86,"38,381.62",EML-12320-01,External Metal Loss,D1.40,21.37,1.40,U214.40,214.40,"2,584.72",0.268,0.273,14,23,,0.26,0.32,266,,,"1,821","1,819","1,821","1,819","2,529","2,526",33.84196038,-118.30737118,47.7,,68.8,External,0.038,0.025,0.063,0.210,0.235,"1,387",0.969,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.268,0.259,"38,381.62","6,485.55",4.05,4.049,4.047,0.277,,,,,
12310,InVista,"1,239",1.228,64+84,"38,383.02",GW12330,Weld,D22.15,22.77,22.15,U215.80,215.80,"2,583.32",0.275,0.275,,,,,,,22.15,215,,,,,,,33.84196035,-118.30737604,47.7,,99.6,,,,,,0.252,"1,387",0.918,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"38,383.02","6,484.12",4.038,4.039,2.995,0.277,,,,,
12320,InVista,"1,240",1.224,64+62,"38,405.17",GW12340,Weld,D22.13,22.15,22.13,U237.95,237.95,"2,561.17",0.275,0.275,,,,,,,22.13,25,,,,,,,33.84195976,-118.30744979,47.8,Metal Loss (<15.0%) in Joint,99.1,,,,,,0.215,"1,385",0.898,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.277,"38,405.17","6,461.55",4.04,4.040,3.880,0.277,,,,,
12320,InVista,"1,240",1.222,64+50,"38,416.27",EML-12340-01,External Metal Loss,D11.02,11.11,11.02,U249.05,249.05,"2,550.07",0.258,0.275,22,31,,1.34,1.61,33,,,"1,766","1,728","1,765","1,720","2,452","2,390",33.84195947,-118.30748653,47.8,Adjacent Long Seam,75.5,External,0.060,0.025,0.085,0.190,0.215,"1,387",0.925,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.258,0.265,"38,416.27","6,450.24",4.034,4.035,4.028,0.277,,,,,
12330,InVista,"1,241",1.220,64+39,"38,427.30",GW12350,Weld,D22.11,22.13,22.11,U260.08,260.08,"2,539.05",0.280,0.280,,,,,,,22.11,201,,,,,,,33.84195918,-118.30752328,47.8,Metal Loss (<15.0%) in Joint,99.5,,,,,,0.224,"1,387",0.900,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.280,0.281,"38,427.30","6,439.01",4.037,4.037,3.274,0.277,,,,,
12330,InVista,"1,241",1.217,64+26,"38,439.81",EML-12350-01,External Metal Loss,D9.60,12.51,9.60,U272.59,272.59,"2,526.53",0.266,0.280,17,26,,1.70,2.10,98,,,"1,795","1,749","1,811","1,758","2,515","2,442",33.84195886,-118.30756488,47.8,,94.4,External,0.048,0.025,0.073,0.207,0.232,"1,387",0.943,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.266,0.278,"38,439.81","6,426.26",4.04,4.040,4.033,0.277,,,,,
12330,InVista,"1,241",1.216,64+22,"38,444.09",EML-12350-02,External Metal Loss,D5.32,16.79,5.32,U276.87,276.87,"2,522.25",0.266,0.280,20,29,,5.80,3.71,76,,,"1,645","1,535","1,710","1,585","2,375","2,201",33.84195874,-118.30757920,47.8,,94.8,External,0.056,0.025,0.081,0.199,0.224,"1,387",0.900,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.266,0.270,"38,444.09","6,421.90",4.034,4.035,4.024,0.277,,,,,
12340,InVista,"1,242",1.215,64+16,"38,449.41",GW12360,Weld,D17.54,22.11,17.54,U282.19,282.19,"2,516.93",0.279,0.279,,,,,,,17.54,279,,,,,,,33.84195861,-118.30759703,47.8,Metal Loss (<15.0%) in Joint,98.2,,,,,,0.160,"1,223",0.793,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"38,449.41","6,416.47",4.038,4.036,3.010,0.277,,,,,
12340,InVista,"1,242",1.214,64+09,"38,457.20",EML-12360-01,External Metal Loss,U7.79,7.79,9.75,U289.98,289.98,"2,509.14",0.277,0.279,29,38,,84.50,17.58,43,,,"1,413","1,271","1,539","1,373","2,138","1,907",33.84195840,-118.30762269,47.8,Intermittent; Adjacent Long Seam,96.0,External,0.080,0.025,0.105,0.174,0.199,"1,223",0.793,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.277,0.276,"38,457.20","6,408.54",4.038,4.037,3.010,0.277,,,,,
12340,InVista,"1,242",1.212,64+01,"38,464.22",EML-12360-02,External Metal Loss,D2.73,14.81,2.73,U297.00,297.00,"2,502.12",0.279,0.279,17,26,,18.00,5.97,61,,,"1,622","1,492","1,713","1,563","2,379","2,170",33.84195822,-118.30764620,47.8,Intermittent,96.3,External,0.048,0.025,0.073,0.206,0.231,"1,339",0.868,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.276,"38,464.22","6,401.38",4.034,4.036,4.027,0.277,,,,,
12340,InVista,"1,242",1.212,63+99,"38,466.93",IML-12360-03,Internal Metal Loss; Not Associated with Deposits,D0.02,17.52,0.02,U299.71,299.71,"2,499.42",0.183,0.279,46,54,,0.32,0.32,168,,,"1,848","1,843","1,847","1,841","2,566","2,556",33.84195814,-118.30765511,47.8,Possible Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,100.0,Internal,0.127,0.025,0.152,0.127,0.152,"1,382",0.897,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.183,0.209,"38,466.93","6,398.63",4.144,4.104,4.007,0.277,,,,,
12350,InVista,"1,243",1.212,63+99,"38,466.95",GW12370,Weld,U17.54,17.54,21.33,U299.73,299.73,"2,499.39",0.275,0.275,,,,,,,21.33,342,,,,,,,33.84195814,-118.30765538,47.8,Metal Loss (<15.0%) in Joint,99.3,,,,,,0.152,"1,383",0.897,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"38,466.95","6,398.60",4.04,4.039,3.137,0.277,,,,,
12350,InVista,"1,243",1.212,63+97,"38,468.41",EML-12370-01,External Metal Loss,U1.47,1.47,19.86,U301.20,301.20,"2,497.93",0.267,0.275,16,25,,0.50,0.65,169,,,"1,828","1,821","1,828","1,821","2,539","2,529",33.84195811,-118.30766024,47.8,,79.7,External,0.043,0.025,0.068,0.207,0.232,"1,387",0.920,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.267,0.263,"38,468.41","6,397.11",4.041,4.042,4.041,0.277,,,,,
12360,InVista,"1,244",1.208,63+77,"38,488.28",GW12380,Weld,U21.33,21.33,21.78,U321.06,321.06,"2,478.06",0.273,0.273,,,,,,,21.78,249,,,,,,,33.84195759,-118.30772616,47.9,Metal Loss (<15.0%) in Joint,99.5,,,,,,0.224,"1,387",0.918,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"38,488.28","6,376.87",4.045,4.043,3.386,0.277,,,,,
12360,InVista,"1,244",1.206,63+69,"38,496.12",EML-12380-01,External Metal Loss,U7.84,7.84,13.93,U328.90,328.90,"2,470.22",0.252,0.273,18,27,,3.27,2.66,87,,,"1,676","1,591","1,680","1,580","2,334","2,194",33.84195738,-118.30775237,47.9,,94.6,External,0.049,0.025,0.074,0.199,0.224,"1,387",0.928,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.252,0.257,"38,496.12","6,368.88",4.047,4.046,4.034,0.277,,,,,
12370,InVista,"1,245",1.204,63+55,"38,510.05",GW12390,Weld,D21.52,21.78,21.52,U342.84,342.84,"2,456.28",0.282,0.282,,,,,,,21.52,50,,,,,,,33.84195702,-118.30779884,47.9,Metal Loss (<15.0%) in Joint,98.5,,,,,,0.250,"1,387",0.910,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.282,0.283,"38,510.05","6,354.68",4.034,4.034,3.922,0.277,,,,,
12380,InVista,"1,246",1.199,63+33,"38,531.57",GW12400,Weld,U21.52,21.52,21.78,U364.35,364.35,"2,434.77",0.279,0.279,,,,,,,21.78,43,,,,,,,33.84195646,-118.30787043,47.9,Metal Loss (<15.0%) in Joint,99.0,,,,,,0.236,"1,387",0.907,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"38,531.57","6,332.76",4.038,4.037,3.002,0.277,,,,,
12390,InVista,"1,247",1.195,63+11,"38,553.35",GW12410,Weld,D19.26,21.78,19.26,U386.13,386.13,"2,412.99",0.288,0.288,,,,,,,19.26,2,,,,,,,33.84195589,-118.30794283,48.0,Metal Loss (<15.0%) in Joint,99.0,,,,,,0.220,"1,387",0.906,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.288,0.289,"38,553.35","6,310.57",4.031,4.030,3.145,0.277,,,,,
12390,InVista,"1,247",1.194,63+06,"38,557.55",EML-12410-01,External Metal Loss,U4.20,4.20,15.06,U390.33,390.33,"2,408.79",0.283,0.288,19,27,,14.84,5.73,64,,,"1,660","1,533","1,855","1,712","2,577","2,377",33.84195577,-118.30795688,48.0,Intermittent,96.9,External,0.054,0.025,0.079,0.209,0.234,"1,387",0.923,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.283,0.282,"38,557.55","6,306.29",4.034,4.034,4.021,0.277,,,,,
12390,InVista,"1,247",1.192,62+92,"38,571.21",EML-12410-02,External Metal Loss,D1.40,17.86,1.40,U404.00,404.00,"2,395.13",0.257,0.288,24,32,,0.57,0.73,350,,,"1,905","1,896","1,911","1,901","2,654","2,641",33.84195542,-118.30800226,48.0,Possible Mill Related; On Long Seam,60.5,External,0.068,0.025,0.093,0.195,0.220,"1,387",0.935,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.257,0.262,"38,571.21","6,292.36",4.034,4.036,4.027,0.277,,,,,
12400,InVista,"1,248",1.191,62+91,"38,572.61",GW12420,Weld,U19.26,19.26,21.79,U405.40,405.40,"2,393.73",0.276,0.276,,,,,,,21.79,134,,,,,,,33.84195538,-118.30800686,48.0,Metal Loss (<15.0%) in Joint,99.1,,,,,,0.231,"1,375",0.892,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.276,0.277,"38,572.61","6,290.94",4.041,4.041,3.921,0.277,,,,,
12400,InVista,"1,248",1.188,62+71,"38,592.13",EML-12420-01,External Metal Loss,D2.27,19.52,2.27,U424.92,424.92,"2,374.21",0.272,0.276,16,25,,7.85,5.40,144,,,"1,647","1,531","1,677","1,542","2,329","2,141",33.84195487,-118.30807196,48.0,Adjacent Long Seam,89.8,External,0.045,0.025,0.070,0.206,0.231,"1,378",0.894,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.272,0.276,"38,592.13","6,271.05",4.033,4.036,4.012,0.277,,,,,
12410,InVista,"1,249",1.187,62+69,"38,594.41",GW12430,Weld,D21.20,21.79,21.19,U427.19,427.19,"2,371.94",0.278,0.278,,,,,,,21.19,302,,,,,,,33.84195481,-118.30807953,48.0,Metal Loss (<15.0%) in Joint,99.6,,,,,,0.224,"1,387",0.910,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.278,0.280,"38,594.41","6,268.74",4.04,4.038,3.148,0.277,,,,,
12410,InVista,"1,249",1.185,62+56,"38,607.13",EML-12430-01,External Metal Loss,D8.47,12.73,8.47,U439.91,439.91,"2,359.21",0.265,0.278,19,28,,0.85,0.48,164,,,"1,827","1,809","1,834","1,815","2,547","2,520",33.84195447,-118.30812194,48.0,,88.5,External,0.054,0.025,0.079,0.199,0.224,"1,387",0.948,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.265,0.268,"38,607.13","6,255.77",4.043,4.042,4.041,0.277,,,,,
12420,InVista,"1,250",1.183,62+47,"38,615.60",GW12440,Weld,D19.74,21.19,19.74,U448.38,448.38,"2,350.74",0.278,0.278,,,,,,,19.74,117,,,,,,,33.84195426,-118.30815004,48.1,,98.8,,,,,,0.192,"1,387",0.910,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.278,0.279,"38,615.60","6,247.14",4.038,4.037,3.276,0.277,,,,,
12420,InVista,"1,250",1.182,62+41,"38,621.19",EML-12440-01,External Metal Loss,U5.59,5.59,14.14,U453.98,453.98,"2,345.15",0.257,0.278,17,26,,0.26,0.24,245,,,"1,854","1,852","1,855","1,853","2,576","2,573",33.84195410,-118.30816868,48.1,,66.7,External,0.046,0.025,0.071,0.207,0.232,"1,387",0.929,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.257,0.260,"38,621.19","6,241.44",4.041,4.042,4.040,0.277,,,,,
12420,InVista,"1,250",1.180,62+31,"38,631.27",EML-12440-02,External Metal Loss,D4.07,15.66,4.07,U464.05,464.05,"2,335.08",0.265,0.278,31,40,,1.84,2.42,73,,,"1,693","1,630","1,748","1,683","2,428","2,337",33.84195384,-118.30820218,48.1,Adjacent Long Seam,88.6,External,0.086,0.025,0.111,0.167,0.192,"1,387",0.911,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.265,0.260,"38,631.27","6,231.18",4.041,4.041,4.034,0.277,,,,,
12430,InVista,"1,251",1.179,62+27,"38,635.34",GW12450,Weld; Begin 0.322 in wall. API 5L (A) LongSeam,U19.74,19.74,21.76,U468.12,468.12,"2,331.00",0.321,0.321,,,,,,,21.76,55,,,,,,,33.84195373,-118.30821569,48.1,,98.9,,,,,,0.291,"1,613",0.940,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.321,0.323,"38,635.34","6,227.03",3.997,3.996,3.193,0.322,,,,,
12440,InVista,"1,252",1.175,62+05,"38,657.10",GW12460,Weld; Begin 0.277 in wall. API 5L (A) LongSeam,D20.47,21.76,20.47,U489.88,489.88,"2,309.24",0.281,0.281,,,,,,,20.47,357,,,,,,,33.84195316,-118.30828809,48.1,,99.7,,,,,,0.249,"1,387",0.922,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.281,0.281,"38,657.10","6,204.85",4.034,4.034,3.169,0.277,,,,,
12450,InVista,"1,253",1.171,61+84,"38,677.57",GW12470,Weld; Begin 0.322 in wall. API 5L (A) LongSeam,U20.47,20.47,21.63,U510.35,510.35,"2,288.77",0.320,0.320,,,,,,,21.63,15,"2,135",,"2,134",,"2,964",,33.84195263,-118.30835616,48.2,Small Laminations in Joint,97.0,,,,,,0.186,"1,613",0.945,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.320,0.324,"38,677.57","6,184.00",3.987,3.987,2.934,0.322,,,,,
12440,InVista,"1,253",1.171,61+84,"38,677.57",IML-12470-01,Internal Metal Loss; Not Associated with Deposits,U0.00,0.00,21.63,U510.35,510.35,"2,288.77",0.210,0.320,42,49.6875,,0.13,0.40,250,,,,"2,134",,"2,133",,"2,963",33.84195263,-118.30835616,48.2,Possible Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,70.0,Internal,0.133999988,0.025,0.158999994,0.161,0.186,"1,613",0.927,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.210,0.228,"38,677.57","6,184.00",4.102,4.085,3.996,0.322,,,,,
12460,InVista,"1,254",1.167,61+62,"38,699.20",GW12480,Weld,U21.63,21.63,21.68,U531.98,531.98,"2,267.14",0.317,0.317,,,,,,,21.68,77,,,,,,,33.84195206,-118.30842829,48.2,Metal Loss (<15.0%) in Joint,98.7,,,,,,0.275,"1,613",0.931,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.317,0.319,"38,699.20","6,161.96",4.001,4.003,2.857,0.322,,,,,
12470,InVista,"1,255",1.163,61+40,"38,720.88",GW12490,Weld,D20.50,21.68,20.50,U553.66,553.66,"2,245.46",0.316,0.316,,,,,,,20.50,315,,,,,,,33.84195149,-118.30850042,48.2,,99.2,,,,,,0.296,"1,613",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.316,0.317,"38,720.88","6,139.87",4.005,4.004,2.962,0.322,,,,,
12470,InVista,"1,255",1.162,61+34,"38,727.05",ANMF-12490-01,Manufacturing Anomaly,U6.17,6.16,14.33,U559.83,559.83,"2,239.29",,,,,,3.30,3.63,27,,,,,,,,,33.84195133,-118.30852095,48.2,Possible Lamination; Oblique (Planar anomaly shape not in typical longitudinal orientation but changing circumferentially),,Midwall,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"38,727.05","6,133.59",4.008,4.007,3.989,0.322,,,,,
12480,InVista,"1,256",1.159,61+19,"38,741.38",GW12500,Weld,U20.50,20.50,21.26,U574.16,574.16,"2,224.96",0.322,0.322,,,,,,,21.26,137,,,,,,,33.84195096,-118.30856850,48.2,,98.7,,,,,,0.209,"1,613",0.917,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.322,0.324,"38,741.38","6,118.98",3.999,3.999,3.905,0.322,,,,,
12480,InVista,"1,256",1.155,60+97,"38,762.62",IML-12500-01,Internal Metal Loss; Not Associated with Deposits,D0.02,21.24,0.02,U595.40,595.40,"2,203.73",0.306,0.322,35,43,,0.19,0.48,179,,,"2,147","2,145","2,146","2,145","2,981","2,979",33.84195039,-118.30863934,48.3,Possible Lack of Penetration; In Girth Weld; WT Inferred from IR;Not Associated with Deposits;,77.8,Internal,0.113,0.025,0.138,0.184,0.209,"1,613",0.968,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.306,0.296,"38,762.62","6,097.35",4.034,4.016,3.946,0.322,,,,,
12490,InVista,"1,257",1.155,60+97,"38,762.64",GW12510,Weld,U21.26,21.26,21.41,U595.42,595.42,"2,203.70",0.316,0.316,,,,,,,21.41,261,,,,,,,33.84195039,-118.30863934,48.3,,99.6,,,,,,0.293,"1,613",0.954,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.316,0.318,"38,762.64","6,097.32",4.004,4.003,3.761,0.322,,,,,
12500,InVista,"1,258",1.151,60+76,"38,784.05",GW12520,Weld,U21.41,21.41,21.83,U616.83,616.83,"2,182.29",0.316,0.316,,,,,,,21.83,333,,,,,,,33.84194978,-118.30871066,48.4,,99.5,,,,,,0.292,"1,613",0.946,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.316,0.317,"38,784.05","6,075.51",4.006,4.006,3.120,0.322,,,,,
12510,InVista,"1,259",1.146,60+53,"38,805.88",GW12530,Weld; Begin 0.277 in wall. API 5L (A) LongSeam,U21.83,21.83,22.08,U638.66,638.66,"2,160.46",0.279,0.279,,,,,,,22.08,95,,,,,,,33.84194917,-118.30878332,48.5,Metal Loss (<15.0%) in Joint,97.6,,,,,,0.189,"1,242",0.805,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.279,"38,805.88","6,053.27",4.041,4.040,3.112,0.277,,,,,
