J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
2300,31.36,0.219,,,,9285.69,,Girth Weld,,,,,,,,52000,,47.72860083,-103.30955699
2310,1.55,0.322,,,,9317.05,,Girth Weld,,,,,,,,52000,,47.72866767,-103.30964165
2310,1.55,,,,,9317.82,,Bend,,,,,,,,,3.0D -  47 deg - Right,47.72866961,-103.30964303
2320,44.27,0.322,,,,9318.59,,Girth Weld,,,,,,,,52000,,47.72867176,-103.30964327
2330,14.54,0.219,,,,9362.86,,Girth Weld,,,,,,,,52000,,47.72879528,-103.30962485
2340,44.3,0.219,,,,9377.41,,Girth Weld,,,,,,,,52000,,47.72883589,-103.30961927
2350,44.65,0.219,,,,9421.70,,Girth Weld,,,,,,,,52000,,47.72895968,-103.30960433
2360,44.67,0.219,,,,9466.35,,Girth Weld,,,,,,,,52000,,47.72908440,-103.30959139
2370,43.86,0.219,,,,9511.02,,Girth Weld,,,,,,,,52000,,47.72920908,-103.30958002
2380,44.22,0.219,,,,9554.88,,Girth Weld,,,,,,,,52000,,47.72933157,-103.30956877
2390,44.18,0.219,,,,9599.10,,Girth Weld,,,,,,,,52000,,47.72945492,-103.30955562
2400,44.32,0.219,,,,9643.28,,Girth Weld,,,,,,,,52000,,47.72957786,-103.30954354
2410,44.3,0.219,,,,9687.59,,Girth Weld,,,,,,,,52000,,47.72970134,-103.30953240
2420,43.87,0.219,,,,9731.89,,Girth Weld,,,,,,,,52000,,47.72982527,-103.30952228
2430,44.31,0.219,,,,9775.75,,Girth Weld,,,,,,,,52000,,47.72994761,-103.30951245
2440,44.08,0.219,,,,9820.07,,Girth Weld,,,,,,,,52000,,47.73007098,-103.30950310
2450,44.11,0.219,,,,9864.14,,Girth Weld,,,,,,,,52000,,47.73019360,-103.30949311
